id drobnoustroju;kod leku;opornoϾ
1;105;1
1;32;1
1;60;1
1;83;1
1;42;3
1;40;3
1;39;1
1;12;1
1;23;1
1;1;3
1;17;1
1;62;3
1;20;1
1;78;1
2;83;3
2;74;3
2;70;3
2;76;3
2;78;3
2;56;3
2;59;1
2;29;2
2;6;1
2;4;1
2;42;1
2;40;1
2;1;1
2;17;1
2;32;1
3;74;3
3;1;3
3;17;3
3;70;3
3;76;3
3;78;3
3;56;1
3;29;1
3;32;1
3;83;1
3;59;1
3;6;1
3;4;1
3;42;1
3;40;1
4;29;3
4;33;3
4;9;3
4;71;2
4;4;2
4;6;2
4;19;1
4;27;1
4;35;1
4;15;1
4;21;1
4;37;1
5;27;3
5;35;3
5;33;3
5;29;3
5;6;3
5;4;3
5;12;3
5;1;3
5;9;3
5;19;1
5;15;1
5;21;1
5;37;1
5;71;1
5;23;1
6;19;3
6;27;3
6;35;3
6;33;3
6;15;2
6;29;3
6;21;3
6;6;3
6;4;3
6;1;3
6;9;3
6;71;2
6;37;1
6;12;1
6;23;1
7;18;3
7;70;3
7;56;3
7;78;2
7;76;2
7;27;1
7;34;1
7;59;1
7;29;1
7;83;1
7;9;1
7;12;1
7;23;1
7;38;1
7;16;1
8;33;3
8;29;3
8;6;3
8;12;3
8;23;3
8;1;3
8;21;2
8;71;2
8;19;1
8;27;1
8;35;1
8;37;1
8;9;1
9;33;3
9;29;3
9;21;3
9;6;3
9;4;3
9;12;3
9;23;3
9;1;3
9;9;3
9;71;2
9;19;1
9;27;1
9;35;1
9;15;1
9;37;1
11;19;3
11;27;3
11;34;3
11;33;3
11;29;3
11;32;3
11;6;3
11;4;3
11;12;3
11;23;3
11;37;1
12;19;1
12;27;1
12;29;3
12;6;3
12;12;1
12;17;1
12;35;1
12;27;3
13;19;1
13;27;1
13;29;3
13;6;3
13;12;1
13;17;1
13;35;1
13;122;3
15;34;3
15;6;3
15;4;3
15;5;3
15;9;3
15;12;3
15;27;1
15;29;1
15;83;1
15;42;1
15;39;1
15;71;1
15;1;1
15;32;2
15;59;2
16;42;3
