kod;nazwa
001;proteus mirabilis
002;proteus penneri
003;proteus vulgaris
004;morganella morganii
005;providencia rettgeri
006;providencia stuartii
007;moellerella wisconsensis
008;tatumella ptyseos
009;koserella trabulsii
010;budvicia aquatica
011;yersinia aldovae
012;yersinia enterocolitica
013;yersinia frederiksenii
014;yersinia intermedia
015;yersinia kristensenii
016;yersinia pestis
017;yersinia pseudotuberculosis
018;escherichia coli 1
019;escherichia coli 2
020;escherichia adecarboxylata
021;escherichia fergusonii
022;escherichia hermannii
023;escherichia vulneris
024;shigella spp
025;shigella sonnei
026;edwardsiella tarda
027;edwardsiella hoshinae
028;salmonella arizonae
029;salmonella choleraesuis
030;salmonella paratyphi a
031;salmonella typhi
032;salmonella spp
033;citrobacter freundii
034;citrobacter diversus/amalonaticus
035;klebsiella pneumo. spp pneumoniae
036;klebsiella pneumo. spp ozaenae
037;klebsiella pneumo. spp rhinoscleromatis
038;klebsiella oxytoca
039;<< klebsiella >> gr. 47
040;enterobacter aerogenes
041;enterobacter agglomerans 1
042;enterobacter agglomerans 2
043;enterobacter agglomerans 3
044;enterobacter agglomerans 4
045;enterobacter agglomerans 5
046;enterobacter amnigenus 1
047;enterobacter amnigenus 2
048;enterobacter cloacae
049;enterobacter intermedium
050;enterobacter gergoviae
051;enterobacter sakazakii
052;enterobacter taylorae
053;erwinia spp
054;erwinia nigrifluens
055;hafnia alvei 1
056;hafnia alvei 2
057;rahnella aquatilis
058;cedecea davisae
059;cedecea lapagei
060;cedecea neteri
061;ewingella americana
062;serratia liquefaciens
063;serratia ficaria
064;serratia fonticola
065;serratia marcescens
066;serratia odorifera 1
067;serratia odorifera 2
068;serratia plymuthica
069;serratia rubidaea
070;buttiauxella agrestis
071;kluyvera spp
072;providencia alcalifaciens
099;inne enterobacteriaceae
100;pseudomonas aeruginosa
101;pseudomonas aureofaciens
102;pseudomonas cepacia
103;pseudomonas chlororaphis
104;pseudomonas diminuta
105;pseudomonas fluorescens
106;pseudomonas mallei
107;pseudomonas mendocina
108;pseudomonas mesophilica
109;pseudomonas paucimobilis
110;pseudomonas pickettii
111;pseudomonas pseudomallei
112;pseudomonas putida
113;pseudomonas putrefaciens
114;pseudomonas stutzeri
115;pseudomonas vesicularis
116;comamonas testosteroni / ps. alcaligenes
117;comamonas acidovorans
118;xanthomonas maltophilia
119;chryseomonas luteola
120;flavimonas oryzihabitans
121;chromobacterium violaceum
122;bordetella bronchiseptica
123;bordetella avium
124;oligella ureolytica
125;oligella urethralis
126;cdc gr. iv c-2
127;alcaligenes faecalis
128;alcaligenes xylosoxidans ssp denitrificans
129;alcaligenes xylosoxidans ssp xylosoxidans
130;achromobacter cdc gr. vd
131;agrobacterium radiobacter
132;flavobacterium breve
133;flavobacterium indologenes
134;flavobacterium miningosepticum
135;flavobacterium odoratum
136;sphingobacterium multivorum
137;sphingobacterium spiritivorum
138;weeksella virosa
139;weeksella zoohelcum
140;acinetobacter baumannii
141;acinetobacter calcoaceticus
142;acinetobacter haemolyticus
143;acinetobacter johnsonii
144;acinetobacter junii
145;acinetobacter lwoffii
146;moraxella lacunata
147;moraxella phenylpyruvica
148;moraxella spp
149;pasteurella aerogenes
150;pasteurella haemolytica
151;pasteurella multocida
